catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,q95Frac,high_fdc
1074,-114.67992,39.23253,59.33102264,2.536282565,-0.212876008,0.830999837,0.38935814,1.336764413,2.822799465,4.72797559
1075,-116.59863,33.76269,7.4597435,5.846235561,-0.861186171,0.701852921,0.167838824,4.024955874,2.848323575,4.726770136
1076,-119.84657,39.11748,39.27559156,1.681551295,-0.905022918,0.809265688,0.231398566,3.095481567,2.846407142,4.010593202
1077,-115.39398,40.62362,75.4437543,1.937751899,-0.310218799,0.516888106,0.057519686,2.206334465,5.153763822,9.449492045
1078,-117.4187,41.64141,36.30344729,2.942246994,-0.445602763,0.627195471,0.162927661,1.494947877,4.299047278,7.326704307
1079,-120.16849,39.02197,72.22777965,0.835960741,-0.953240918,0.50353929,0.044589762,2.484694724,4.968042701,7.94751035
1080,-120.20516,39.09663,76.33834698,0.83798281,-0.958880445,0.543520706,0.039800376,3.350913637,4.485649739,6.975822642
1081,-120.27148,39.42957,70.21968839,0.992325086,-0.934089165,0.605634557,0.141745291,1.981551698,4.364950746,7.824381689
1082,-118.14938,34.25045,2.169522222,3.654812583,-1.152461413,0.411364998,0.013382998,6.43775165,3.479579405,8.759773827
1083,-120.52704,35.27825,0.787158424,3.246711052,-1.283843111,0.570614463,0.127008908,3.389191442,3.012149545,6.138940756
